bl_code,name,quantity
CR16015-B,CR16015-B,3
CR16015-G,CR16015-G,5
CR16015-P,CR16015-P,9
CR16015-Y,CR16015-Y,2
CR15510,CR15510,5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
