bl_code,name,quantity
CG70645,Embrace,0
CG80511,Emerald Fitzgerald,67
CG28843,Emerald Sparkle,0
CG80206,Emotion,8
CG77074,Empty Rack 36pc with Header,0
CG80900,Entourage,9
CG81121,Escaping Reality,61
CG70430,Evening Seduction,38
CG70631,Exceptionally Gifted,17
CG72119,Exceptionally Gifted 12pc Display,0
CG70385,Exotic Cranberry,0
CG80493,Exotic Encounters,0
CG81112,Exquisite,186
CG81367,Exquisite,0
CG81106,Eye Candy 12pc Display,0
CG70893,Eyes Like Sapphire,5
CG81189,Fade Into Hue,25
CG70563,Fairy Dust,45
CG81096,Faith,247
CG81195,Fancy Pants,25
CG81493,Fang-Tastic,83
CG80315,Far Out,60
CG70569,Fashion Fairy 12pc Display,0
CG70560,Fashion Fairy 6pc Display,0
CG70546,Fashionably Late,0
CG81003,Fast Forward Top Coat,120
CG72009,Fast Forward Top Coat Prof. Refill,0
CG70589,Fast Freeze Quick Dry,31
CG70570,Fast Freeze Quick Dry Prof. Refill,0
CG70268,Fast Freeze Quick Dry with Box,78
CG80615,Fast Track,187
CG81056,Fault Line,101
CG81794,Feel The Breeze,33
CG81934,Feeling Twinkly,0
CG80533,Ferr-ocious! Nail Applique,152
CG70312,Fifth Avenue,72
CG70619,Fiji Fling,6
CG81004,First & Last with Box,143
CG70398,First Class,0
CG80509,First Class Ticket,1
CG70644,First Kiss,0
CGCGX2205,First Light,0
CG80967,First Mate,1
CG82275,Five Rules,0
CG80946,Flip Flop Fantasy,44
CG25179,"Flip Into Colour, Includes: Laced Up, Fly, Custom Kicks & Oh How Street It Is + 1 pair Jelly Toe Separator FREE",0
CG70521,Flirt,0
CG70316,Flirty Femininity,66
CG80447,Flirty Tankini,20
CG81795,Float On,46
CG81537,Flock Together,3
CG80417,Flower Girl,1
CG80904,Fly,61
CG80935,Flyin High,0
CG80841,Flying Dragon,57
CG81538,Flying South,3
CG80614,Foie Grass,0
CGCGT410,Foot In The Door,0
CGCGT105,Footloose,0
CG77053,For Audrey,142
CG80936,Four Leaf Clover,68
CG80502,Foxy,5
CG70517,Free Fall,0
CG80320,Free Love,68
CGCGT419,French-toes,0
CGCGX2206,Fresh Start,0
CG82282,Friends Forever Right,0
CG77034,Frostbite,39
CG25175,Frosty,0
CG70343,Fuchsia,20
CG80742,Fuchsia Fanatic,0
CG72068,Fuchsia Seduction,0
CG80730,Full Spectrum,0
CG80810,FYI,0
CG80738,Gaga for Green,275
CG81294,Galactic Gray,53
CG70513,Garter Belt,0
CG70649,Gaze,0
CG80413,Gelato,0
CG81130,Get Carried Away,2
CG81143,Get Charged,18
CG80322,"Get Down Tonight 6pc Box Collection, Includes: Cords, Short & Sassy, Let's Groove, Stella, Skate Night and Far Out",0
CG81157,Get Outta My Space,13
CG82121,Getting to Gnaw You,0
CG80754,"Ghoulish Glow, Limited Edition Glow In The Dark Lacquer",0
CG70888,Gilded Treasures,0
CG80397,Ginger,2
CG82281,Givers Theme,0
CG80424,Glacier,4
CG80381,Glam,0
CG80431,Glam,0
CG80558,Glam-More,539
CG80559,Gleam Me Up,526
CG81842,Glimmer more,97
CG70672,Glimpse,0
CG80652,Glistening Snow,72
CG80650,Glitter All The Way,1
CG80781,Glitter Goblin,0
CG81843,Glitter up,103
CG80516,Glittering Garland,66
CG81308,Glitz Bitz 'N Pieces 12pc Display with 24pc backup (total 36pcs),0
CG81306,Glitz Bitz 'N Pieces 12pc in 12pc Display,19
CG81307,Glitz Bitz 'N Pieces 24pc in 12pc Display,0
CG81232,Glitz 'N Pieces,156
CG81947,"Glow in the Snow 3pc Set: Includes 1 of each .5 oz: De-Light, Out Like a Light, Meet Me Under the Stars + Mini Flashlight FREE",0
CG70564,Glowing Orange,0
CG70259,Go Crazy Red,18
CG70229,Go Go Pink,11
CG80422,Goddess,4
CG80503,Goin My Way?,74
CG80396,Gold Digger,0
CG81140,Gold Fusion,10
CG70510,Golden Enchantment,34
CG70544,Golden Glamour,0
CG70323,Golden Meringue,22
CG80893,Golden Opportunity,0
CG80890,Golden Spurs,0
CG81349,Goldie But Goodie,0
CG81146,"Good Spirits 3pc Set Includes: Bells Will Be Blinging Mingle With Kringle + Shot Glass FREE",0
CG80926,Good Witch?,9
CG81348,Gossip Over Gimlets,0
CG80743,Gothic Lolita,3
CG80811,GR8,0
CG81237,Grafitti Glitter,60
CGCGX2224,Grape Crush,0
CG80225,Grape Juice,3
CG80930,Grape Pop,2
CG81766,Grass Is Lime Greener,81
CGCGX244,Great Barrier Beige,0
CG70253,Groovy Green,0
CG80883,Gussied Up Green,0
CG70388,Gypsy Cocoa,0
CG70543,Gypsy Girl,0
CG28878,Halloween 12pc Display,0
CG80438,Hang Ten Toes,28
CG81125,Hanging In The Balance,166
CG80940,Happy Go Lucky,70
CG81448,Happy Holiglaze - Holiday Travels 18pc Bucket (Includes: Colour Travel Top Coat),60
CG81433,Happy Holiglaze 12pc Display with 12pc backup (total 24pcs),0
CG81434,Happy Holiglaze 12pc Display with 24pc backup (total 36pcs),0
CG81432,Happy Holiglaze 12pc in 12 pc Display,7
CG81436,Happy Holiglaze 36pc Prepack,4
CG81435,Happy Holiglaze 36pc Rack,0
