bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
TZ1.C,Salon Solutions,Tweezer Zebra Print,,Black/White,piece,SSTZPNO1,Cash,For Cancellation,BP7410,C,Better Craft,Tweezer Zebra,0.27,77,30,For Cancellation,BLPI - Dasma,0
SM1.C,Salon Solutions,Sleep Mask Zebra Print,,Black/White,piece,SSSMPNO1,Cash,For Cancellation,BP8210,C,Better Craft,Sleep Mask,0.44,77,40,For Cancellation,BLPI - Dasma,0
LFA1.C,Salon Solutions,Duck Loofa,,Yellow/White,piece,SSLFAPNO1,Cash,For Cancellation,BC6421,C,Better Craft,Duck Loofa,0.25,50,30,For Cancellation,BLPI - Dasma,0
BTHS1,Salon Solutions,Bath Set,,,piece,SSBTHSPNO1,Cash,For Cancellation,BC1447,C,Better Craft,Bath Set,1.27,150,150,For Cancellation,BLPI - Dasma,0
BOTP1.C,Salon Solutions,Pump Bottle,,Semi-Clear,piece,SSBOTPNO1,Cash,For Cancellation,I-028,C,Supernail,Pump Bottle,0.253,35,30,For Cancellation,BLPI - Dasma,0
BOTP2.C,Salon Solutions,Pump Bottle,,Semi-Clear,piece,SSBOTPNO2,Cash,For Cancellation,---,C,Supernail,Pump Bottle,0.44,60,45,For Cancellation,BLPI - Dasma,0
BOTP3.C,Salon Solutions,Pump Bottle,,Semi-Clear/Black,piece,SSBOTPNO3,Cash,For Cancellation,I-028/2,C,Supernail,Pump Bottle,0.44,60,45,For Cancellation,BLPI - Dasma,0
BOTP4.C,Salon Solutions,Pump Bottle OPI,,Semi-Clear,piece,SSBOTPNO4,Cash,For Cancellation,---,C,Supernail,Pump Bottle,0.37,,40,For Cancellation,BLPI - Dasma,0
CER1,Salon Solutions,Ceramic Jar for Acrylic Solution,,White,piece,SSBOTPNO5,Cash,For Cancellation,SO-56,C,,Acrylic,1.4,,80,For Cancellation,BLPI - Dasma,0
BOTP5.C,Salon Solutions,Menda Pump Bottle Metal,200ml,White,piece,SSBOTPNO6,Cash,For Cancellation,---,C,,Menda Pump,1,115,90,For Cancellation,BLPI - Dasma,0
BOTP6,Salon Solutions,Menda Pump Bottle Metal,200ml,Pink,piece,SSBOTPNO7,Cash,For Cancellation,---,C,,Menda Pump,1,115,90,For Cancellation,BLPI - Dasma,0
JAR1.C,Salon Solutions,Cream Jar,1L,Semi-Clear,piece,SSBOTPNO8,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Cream Jar,0.55,,55,For Cancellation,BLPI - Dasma,0
BOTS1.C,Salon Solutions,Salon Spray Bottle,,Black,piece,SSBOTPNO9,Cash,For Cancellation,---,C,Tianba,Salon Spray,0.323,55,38,For Cancellation,BLPI - Dasma,0
BOTS2.C,Salon Solutions,Salon Spray Bottle,,Clear,piece,SSBOTPNO10,Cash,For Cancellation,---,C,Tianba,Salon Spray,0.29,50,35,For Cancellation,BLPI - Dasma,0
BOTP7.C,Salon Solutions,Lotion Pump Bottle,1L,White,piece,SSBOTPNO11,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.55,,55,For Cancellation,BLPI - Dasma,0
BOTS3.C,Salon Solutions,Spray Bottle,250ml,White,piece,SSBOTPNO12,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.6,75,60,For Cancellation,BLPI - Dasma,0
BOTS4.C,Salon Solutions,Spray Bottle,100ml,White/Silver,piece,SSBOTPNO13,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.58,75,60,For Cancellation,BLPI - Dasma,0
BOTP8.C,Salon Solutions,Lotion Pump Bottle,100ml,Clear/Silver,piece,SSBOTPNO14,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.56,65,55,For Cancellation,BLPI - Dasma,0
